Comment,Designator,Footprint,LCSC
"100n","C1,C3,C4,C5,C6,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C24,C25","Capacitor_SMD:C_0402_1005Metric","C1525"
"1µ","C2","Capacitor_SMD:C_0402_1005Metric","C52923"
"27pF","C23","Capacitor_SMD:C_0402_1005Metric","C1557"
"10uF","C26,C27,C30,C31,C32","Capacitor_SMD:C_1206_3216Metric","C13585"
"1µF","C28","Capacitor_SMD:C_0402_1005Metric","C52923"
"10uF","C29","Capacitor_SMD:C_0402_1005Metric","C386033"
"100nF","C33","Capacitor_SMD:C_0402_1005Metric","C307331"
"15pF","C7,C8,C9,C10","Capacitor_SMD:C_0402_1005Metric","C1548"
"+5V","D1,D2","LED_SMD:LED_0603_1608Metric","C2286"
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad",""
"Logo_AGFallnich","H5","footprints:Logo_AGFallnich_text",""
"Logo_WWU","H7","footprints:Logo_WWU",""
"SMA Y","J1","Connector_Coaxial:SMA_Amphenol_132134-16_Vertical",""
"SMA X","J2","Connector_Coaxial:SMA_Amphenol_132134-16_Vertical",""
"SMA SUM","J3","Connector_Coaxial:SMA_Amphenol_132134-16_Vertical",""
"10k","R1,R2,R3,R4","Resistor_SMD:R_0402_1005Metric","C190095"
"180k","R10","Resistor_SMD:R_0402_1005Metric","C138046"
"56k","R11","Resistor_SMD:R_0402_1005Metric","C25796"
"1k","R12,R13","Resistor_SMD:R_0402_1005Metric","C328418"
"51","R5,R6,R8","Resistor_SMD:R_0402_1005Metric","C25125"
"2.5k","R7","Resistor_SMD:R_0603_1608Metric","C304065"
"50k","R9","Resistor_SMD:R_0402_1005Metric","C25794"
"10k","RV5,RV6,RV7","Potentiometer_SMD:Potentiometer_Bourns_3224W_Vertical","C81348"
"S11142-10","U1,U18","footprints:S11142-10",""
"OP27","U10,U11,U13","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C581242"
"LT3045","U14","Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm","C666574"
"LM27761","U15","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm","C129351"
"solder_pad","U16,U17","footprints:solder_pad",""
"LT5400-1A","U2,U7,U8,U9,U12","Package_SO:MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm","C1739156"
"OP37","U3,U4,U5,U6","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C9928"